City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
357,palauig,0,PH,1543352966,100,15.44,119.9,71.01,3.29
358,lincoln,90,GB,1543351800,100,53.23,-0.54,46.4,19.46
359,nyurba,68,RU,1543352967,39,63.29,118.35,-25.57,2.73
360,yuncheng,0,CN,1543352967,84,35.03,111.0,27.67,2.39
361,coquimbo,20,CL,1543348800,67,-29.95,-71.34,62.6,12.75
362,maragogi,92,BR,1543352968,88,-9.01,-35.22,77.62,9.22
363,port-cartier,75,CA,1543348800,74,50.03,-66.88,33.8,17.22
364,rio grande,75,BR,1543348800,64,-32.03,-52.1,73.4,18.34
365,lorengau,88,PG,1543352969,100,-2.02,147.27,83.97,11.23
366,aswan,0,EG,1543352931,89,24.09,32.9,57.64,4.85
367,green river,20,US,1543348440,30,41.53,-109.47,37.94,10.29
368,rawson,92,AR,1543352970,62,-43.3,-65.11,67.59,10.11
369,kalur kot,20,PK,1543352971,88,32.16,71.27,55.66,2.95
370,platanos,75,GR,1543351800,87,35.47,23.6,60.8,13.87
371,kawalu,80,ID,1543352971,98,-7.38,108.21,66.51,1.39
372,nioro,56,GM,1543352972,38,13.79,-15.05,82.26,8.99
373,nantucket,75,US,1543351980,70,41.28,-70.1,44.96,13.87
374,guarapari,20,BR,1543348800,83,-20.67,-40.5,78.8,10.29
375,zhuanghe,0,CN,1543352973,100,39.7,122.97,32.89,9.44
376,oga,64,NG,1543352973,49,8.18,5.65,83.11,3.96
377,mlonggo,44,ID,1543352974,100,-6.53,110.7,74.02,4.41
378,souillac,75,FR,1543350600,87,45.6,-0.6,50.0,10.29
379,shitanjing,0,CN,1543352975,58,39.23,106.34,9.63,2.73
